date,AdrActCnt,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-01-12,42339,1611240330,1379,14294679,10365.97461929,0.45324892,18332667.71588013312601729543,40447239.53623792209277872058,20670.607234982028,1.5680885835631762,0.0002802124844611772132603601187,1,0.000178696846210339,25106.66631143,4.48648208870790583505987477,1.4169796720425398,13790000.00000003,4.90633,2464.22950924058017090538631,13790000.00000003,2464.22950924058017090538631,25.83114504,68.04379011597862,4.0450368205727596E-7,0.000178696846210339,13.784837644832399,36.538053554635994,102590885651.67663244,153226380000,102590885651.67663244,16011,59765,3971596516.90661789,709711.7719911799332397960404,1538823.57199761,274.9829191901014378484652898,48,0.008577448618096272,91967790780.43738557,16434354.16539645244681133146,0.03581407627081691,0.04279087119393547,0.03668141636833434
2016-01-13,31550,1611240330,1386,11425974,8243.84848485,0.45696724,18448578.87657689216809710741,40371775.41789241069888345272,19392.847769388492,1.4214232733968595,0.000255575307065103348414759495,1,0.000179802393733388,20734.30128904,3.72807700415866442648646752,1.3361368364226918,13859999.999999939,4.93042,2492.061177144746712053982263,13859999.999999939,2492.061177144746712053982263,21.33379021,66.34973910109925,4.159101694915248E-7,0.000179802393733388,34.48962955187137,33.640100983323684,102604745651.67663238,153240240000,102604745651.67663238,14587,40034,4809494450.74392618,864758.6148912040736215352733,3428492.45571814,616.4511504349833306232352583,70,0.01258616756133716,137256266972.21990601,24679005.35651410274505549436,0.03575788181791839,0.04267192868962322,0.03656842970454774
2016-01-14,35088,1611240330,1368,9842583,7194.87061404,0.43828197,17686024.69118696602911078682,40353074.03223503223708126845,20333.49625004642,1.3367914898827002,0.0002303926136743237328893901272,1,0.000172347456890633,16752.67095121,2.88728023456662520904901593,1.3827519389487268,13680000.00000006,4.865815,2357.713210263869780847413438,13680000.00000006,2357.713210263869780847413438,51.02843211,63.3768835083837,4.00972881355932E-7,0.000172347456890633,51.18726549145999,26.10402281113158,102618425651.67663244,153253920000,102618425651.67663244,12532,56110,2011004873.26537217,346591.5757019566096836577319,1183423.2439445,203.9599865190977742160218685,26,0.004481033879156458,66401878217.72598099,11444194.84358659093141880507,0.03585986274819353,0.043692685488547704,0.03694997698010322
2016-01-15,34391,1611240330,1383,16453850,11897.21619667,0.37390906,15065912.27574838532605149725,40292985.42589899164510378199,19421.078438044347,1.8405454809474233,0.0002701830587217148712376504417,1,0.00014679510043003,25274.37054437,3.7101537623665861521954311,1.3351856041386119,13830000.00000001,4.918375,2030.1762389473163679510043,13830000.00000001,2030.1762389473163679510043,35.26504937,53.452500124777266,3.9909146697837497E-7,0.00014679510043003,2.5915258562050956,9.211086814240561,102632255651.67663245,153267750000,102632255651.67663245,13732,46973,2910310845.56993747,427219.3728580445008228372102,852476.88556911,125.1394300313966944622843733,51,0.00748655012193153,40043396745.83772728,5878174.446864785662452925862,0.03765205943958359,0.053295457408823105,0.04239664164888022
2016-01-16,38113,1611240331,1391,10117869,7273.80948958,0.40061978,16144267.80473269554590618687,40298229.88025825073706671457,21390.609121855065,1.2553601676842423,0.0001974440117642865889965468258,1,0.00015728076837782,20355.665119,3.20155465075790878726058,1.4790961292622977,13910000,4.946115,2187.7754881354762,13910000,2187.7754881354762,40.56486333,56.62326374282148,4.052884278199883E-7,0.00015728076837782,11.899825192788724,13.814064980504433,102646165651.67663245,153281660000,102646165651.67663245,16215,52539,2530420595.90930226,397986.4956436762273433882599,370263.80019528,58.2353749972052573648206896,50,0.007864038418891,19453289798.46002713,3059628.36697820023596140329,0.03800285451238982,0.05447708101336569,0.043174725338747
2016-01-17,61703,1611240331,1385,17148395,12381.51263538,0.3842232,15478308.85528607735099466062,40284680.39417913718518323169,19624.294164831255,1.6019160008711328,0.000241524905916991898742592307,1,0.000150772516028087,29348.70305196,4.42497780130520495398040052,1.3511076016015269,13849999.99999999,4.924215,2088.199346989003442274839719,13849999.99999999,2088.199346989003442274839719,46.12351316,53.99371848203856,3.941949736995924E-7,0.000150772516028087,10.875872804036229,7.166781780079848,102660015651.67663244,153295510000,102660015651.67663244,18321,88408,2225763143.76373134,335583.9092678424930987433621,227229.88094699,34.26002086714035059299810813,122.21,0.01842590918379251227,20088939314.76157057,3028859.924822155973484162353,0.0381241051430465,0.05506361987781546,0.04356479990252549
2016-01-18,38579,1611240331,1378,13777024,9997.84034833,0.37840603,15240685.54278495794002696853,40276011.07419001612502758362,21798.29407375181,1.6149745431295257,0.0002397234758413061229927955005,1,0.000148437928548871,26756.89823057,3.97173854773876254767118647,1.4931995265518367,13780000.000000011,4.898665,2045.474655403444012817214038,13780000.000000011,2045.474655403444012817214038,76.03407059,53.07990348488058,3.8568813559321954E-7,0.000148437928548871,7.88749074854522,6.668237359966906,102673795651.67663245,153309290000,102673795651.67663245,16568,52181,1350365630.28088409,200445.4769424850261856646514,561298.47747402,83.31798329387865926020283142,60,0.00890627571293226,29289115853.07202965,4347615.686257910823392063186,0.037740078760875366,0.05510887211322114,0.04349321884245284
2016-01-19,27472,1611240331,1389,11137933,8018.67026638,0.37110093,14944677.13014957645911936956,40271192.88521429804758655467,20240.85325472015,1.4320682188678973,0.0002084163940740217205421999013,1,0.000145535241497631,19556.32359686,2.84613427747483981108903866,1.3975816209551823,13890000.00000002,4.93699,2021.484504402097500704829953,13890000.00000002,2021.484504402097500704829953,61.83993436,51.849784126505696,3.848492109877274E-7,0.000145535241497631,3.0626283316735177,11.219613412164305,102687685651.67663247,153323180000,102687685651.67663247,13656,41430,1660540016.92863894,241667.0923801897370991000644,475879.50277919,69.25723836074197928230109889,32.95,0.00479538620734694145,19715687800.14198204,2869327.385285560626081526305,0.037612996885610664,0.0539599033692616,0.04355704774543741
2016-01-20,41259,1611240332,1388,18903996,13619.59365994,0.42422382,17109233.86754475409068948118,40330677.22756219081963120346,19332.289209217364,1.9706545759255734,0.0003282948005487142806673014194,1,0.000166591753095299,30925.48226,5.15193030501096931389574,1.3338864730976665,13879999.99999996,4.932975,2312.293532962743456329876188,13879999.99999996,2312.293532962743456329876188,50.62167299,58.79299873416918,3.960596142606651E-7,0.000166591753095299,16.610324674184277,26.26675951678984,102701565651.67663243,153337060000,102701565651.67663243,15693,63111,2028806232.47352695,337982.3869584335858417379948,422093.17196859,70.31724148780292623370465841,46,0.007663220642383754,26638722176.10993174,4437791.427536771833938040605,0.03871780975204002,0.059071530838751565,0.04682168799737031
2016-01-21,42506,1611240332,1387,12419807,8954.43907714,0.41904948,16901791.90807857563020409915,40333642.21091173432167162458,19892.723077263076,1.4161807791057865,0.0002330320918253914437039237761,1,0.000164549678447503,22583.8348844,3.7161627683395210854736532,1.3715663348117266,13870000.00000002,4.928595,2282.30404006686990099356895,13870000.00000002,2282.30404006686990099356895,53.37599163,57.88704626316979,4.020285797779072E-7,0.000164549678447503,4.932764498189744,26.82850057234506,102715435651.67663245,153350930000,102715435651.67663245,15947,38614,1924375220.2782478,316655.3237091284300943851252,812166.85348763,133.6417945871097969194148879,118,0.019416862056805354,31361010880.57136055,5160444.25618666028661272846,0.03872742735996972,0.05901345502529085,0.046851923519887845
2016-01-22,40400,1611240332,1372,14770199,10765.45116618,0.42164586,17008614.44496262107355742394,40338625.86176976763900810783,20332.327022394315,1.5427089292002174,0.0002554225352200622847939341471,1,0.000165567548346583,25442.35566037,4.21242845084926962459801571,1.3867153290359675,13719999.99999998,4.87494,2271.586763315115448649033068,13719999.99999998,2271.586763315115448649033068,27.65557929,57.17046986229322,4.3450751022793785E-7,0.000165567548346583,6.72182706501315,21.97975708901237,102729155651.67663243,153364650000,102729155651.67663243,16492,58536,3714590628.22003559,615015.6634255848608094179149,701528.05216695,116.1502796936356950427780318,36,0.005960431740476988,41064646061.64467035,6798972.772146673143100796584,0.038729742246443155,0.05859320968753568,0.046851319730278077
2016-01-23,51446,1611240332,1390,14806370,10652.0647482,0.43656457,17623152.91008920536422049025,40367804.24684495625759145825,20978.885741468315,2.0298601953675615,0.000348174739228541946949523978,1,0.000171526462769765,38823.1060966,6.659190062485096493649299,1.4495838327652397,13900000.000000011,4.938085,2384.217832499735386791090467,13900000.000000011,2384.217832499735386791090467,29.58593597,58.34560985614196,4.4394284044418325E-7,0.000171526462769765,10.29824438962839,23.08196848217333,102743055651.67663244,153378550000,102743055651.67663244,19126,74776,3472699182.06522478,595659.8069631041456305661128,391528.77251951,67.15754542285952185210061515,109.61,0.01880101558419394165,29276955493.91895315,5021772.616539756194339778272,0.038812503592298576,0.058720590143670204,0.04689547145945108
2016-01-24,38873,1611240333,1398,13863283,9916.51144492,0.48050787,19420613.97513736539992846773,40416849.10391440054711121827,20200.658522809994,1.6373979497468218,0.0003094607907287907928412990424,1,0.000188995467336844,28197.63009259,5.32922427714050280043838596,1.403843894247215,13980000.000000011,4.965825,2642.156633369081198950140705,13980000.000000011,2642.156633369081198950140705,42.70966291,63.52087115003606,4.68451870251315E-7,0.000188995467336844,13.248908692647213,36.27311342968654,102757035651.67663245,153392530000,102757035651.67663245,17221,60693,2405943495.14005418,454712.4152500344008313584702,800634.58765653,151.3163080601872799940861913,28,0.005291873085431632,48592915028.6376449,9183840.685096921941562087159,0.03946897967058387,0.06091908408679407,0.04830795786600492
2016-01-25,65242,1611240333,1387,18950028,13662.60129776,0.53139929,21524981.71671823901650681952,40506229.65640147906877059886,19390.68400545343,1.7573477645719577,0.0003680699149478589792464450613,1,0.000209446258940962,39002.57628691,8.16894369235277607086340742,1.3369516726068689,13870000,4.92604,2905.01961151114294,13870000,2905.01961151114294,30.00413395,68.91971689875523,5.343206312098198E-7,0.000209446258940962,25.134048440451224,53.0413768296288,102770905651.67663245,153406400000,102770905651.67663245,22194,80830,3425224865.26005,717400.5340602781090577271681,837401.33482211,175.3905768106588699812622698,112.19749997,0.02349934663124519622677114,67687149893.67116282,14176820.32360555887340633227,0.04016247561158641,0.06301587856367623,0.04974253959458579
2016-01-26,47420,1611240333,1390,20935815,15061.73741007,0.81460887,34378363.9035864202559196655,42202295.23903549822048146622,19466.30877461478,1.752152214826967,0.0005860411572886388550350683397,1,0.000334469318549766,37010.71123379,12.37894736540791052737579314,1.345068886452819,13899999.99999994,4.935895,4649.123527841727331840887014,13899999.99999994,4649.123527841727331840887014,9.91385085,98.6670027113763,8.551076563413211E-7,0.000334469318549766,103.03238353822903,137.86492977315024,102784805651.67663239,153420300000,102784805651.67663239,21123,67681,10367798265.22198041,3467710.420630241887420087662,3471122.50282636,1160.983978123090835511316632,54,0.018061343201687364,234929042113.79105096,78576556.6233489709758248962,0.05316651810131427,0.10414335143209993,0.07705957362677913
2016-01-27,52711,1611240334,1381,38625013,27968.87255612,0.9978928,46042232.48812704214284822074,46139457.74015456397259146114,17776.95672565405,4.770653950105809,0.002136717084162317656379060253,1,0.000447887670434559,103256.03409609,46.24710456960914513106277431,1.2203859879086254,13810000.00000011,4.90341,6185.328728701309057643747801,13810000.00000011,6185.328728701309057643747801,4.41979259,99.84927200194949,0.000001134963062536529,0.000447887670434559,183.704564826345,237.61596212345304,102798615651.6766325,153434110000,102798615651.6766325,21644,72964,23258696793.82360799,10417283.52432940219366167656,4957774.51780765,2220.526079320687403359474576,38,0.017019731476513242,361739059917.31763567,162018464.8515547526287548233,0.05734926589472252,0.11327176972228079,0.08489245534802706
2016-01-28,44716,1611240334,1381,15556467,11264.63939175,0.76093609,34932680.40422532549514491216,45907508.78197488463032578475,21256.484827879744,1.5900679485902163,0.0005402589727557740536319903803,1,0.000339770997355665,28535.3594054,9.695487525075113786721591,1.459255182789578,13809999.99999994,4.90268,4692.23747348171326374015866,13809999.99999994,4692.23747348171326374015866,16.76058205,72.68542511822261,8.967276446522491E-7,0.000339770997355665,138.83062640730844,149.2895807365127,102812425651.67663244,153447920000,102812425651.67663244,17946,59271,6134179906.93353611,2084216.424937887873429717791,2005635.03515218,681.4566162251204301008600997,22,0.00747496194182463,118875994168.5049603,40390615.10027914682651773581,0.06094659178044173,0.12719998351597686,0.09314563514453407
2016-01-29,32329,1611240334,1386,14744744,10638.34343434,0.7067297,32401680.70709033272411130274,45847345.23841499768236034749,19389.832943133933,1.746459836674715,0.0005503284849496899819391174822,1,0.000315110873661729,30377.92239912,9.57241366721490984300727848,1.3359291196158547,13859999.99999995,4.919835,4367.436708951548184456316914,13859999.99999995,4367.436708951548184456316914,13.41212466,64.14307252438934,8.314271186440686E-7,0.000315110873661729,121.02284084930608,134.0182281057434,102826285651.67663239,153461780000,102826285651.67663239,17394,44208,7666666413.49214332,2415849.951628543759340060867,1737791.57488597,547.5970214043099632095280421,28.69499999,0.00904210651657220491838271,76824289942.55886136,24208169.12224170321643510005,0.06121796754742431,0.12844718679190942,0.09365626795015164
2016-01-30,53286,1611240334,1374,14996308,10914.34352256,0.56825813,25934264.94890937225799601352,45638176.49160727940538481287,20328.659149104864,1.4978086048148707,0.0003777183538595495865984919835,1,0.000252180654220661,29935.20277583,7.54907902023695657253742363,1.3884862571998944,13740000.00000002,4.876765,3464.962188991887183613084413,13740000.00000002,3464.962188991887183613084413,22.92627292,50.32953748390368,6.684482758620667E-7,0.000252180654220661,79.50236733329895,85.43431166508273,102840025651.67663241,153475520000,102840025651.67663241,19986,87329,4485684438.37786102,1131202.836297567305001604271,831704.82671212,209.7398673187439100936031113,30.1,0.0075906376920418961,72631950811.94272652,18316372.87307858668247083806,0.06348573372578707,0.13637910762058714,0.09829829592397431
2016-01-31,63173,1611240335,1379,16899923,12255.20159536,0.5960302,27133637.58212058906379410365,45523931.12150065842216164274,19401.060131595634,1.7359353170072518,0.0004579532558830311776073456134,1,0.000263807787880335,32314.43592609,8.52479985826262741382444015,1.3299516318040996,13790000.000000099,4.893555,3637.909394869845766971000153,13790000.000000099,3637.909394869845766971000153,21.37864917,51.63718058314086,7.201140268848636E-7,0.000263807787880335,94.44930454894926,92.47364072996595,102853815651.67663251,153489310000,102853815651.67663251,18615,82128,4811053066.0800008,1269193.266737468176933767104,626078.20197949,165.1643055043068302282443292,56.26,0.0148418261461476471,51418550572.1712385,13564614.08245762793168656674,0.06355471913949913,0.13642846717242518,0.09838722810986947
2016-02-01,37014,1611240335,1354,11949647,8825.44091581,0.58738176,26707824.65903745683676300331,45469278.49852184052665545546,22084.451481570537,1.3619635605989115,0.0003536115392296583023516043947,1,0.000259633627109789,24764.58342237,6.42971861781287488534857993,1.486453747142401,13539999.999999989,4.804495,3515.439311066540204030101792,13539999.999999989,3515.439311066540204030101792,40.33686317,50.27449126022422,6.993998831092934E-7,0.000259633627109789,81.00782692494882,89.79133091758428,102867355651.6766325,153502850000,102867355651.6766325,18183,40849,2550207120.03235249,662119.5244552087238224131775,1498527.92232659,389.0682397989487223062439895,100,0.0259633627109789,61213367099.11878856,15893048.5275472339381240598,0.06356618904121346,0.13653669950681158,0.0984561440390981
