OptimaizedRunTimes
23
24
23
23
23
23
23
23
23
23
23
23
23
25
25
23
23
23
22
23
23
23
22
23
22
23
23
22
23
24
23
22
23
22
22
22
23
22
24
23
22
23
22
23
23
22
22
23
22
22
23
22
23
23
22
23
22
25
23
23
23
23
22
23
22
22
23
22
22
22
22
23
23
22
22
23
23
23
23
22
24
23
23
22
22
22
22
22
22
22
22
23
23
22
22
22
23
22
23
22
22
22
23
23
22
22
22
22
22
22
22
22
22
23
22
22
23
23
23
23
22
22
23
24
24
23
23
22
23
22
23
23
23
23
23
22
23
22
22
23
22
23
22
23
22
23
23
23
24
23
22
22
22
23
22
22
23
23
22
22
23
22
23
22
23
23
22
23
22
22
22
23
23
23
23
22
22
23
22
22
22
22
22
23
22
23
22
22
22
22
22
22
23
22
22
23
22
22
22
23
24
22
22
22
23
23
22
22
22
22
23
22
22
22
22
22
22
23
22
22
22
22
23
24
23
22
22
22
22
22
22
22
22
22
23
22
23
22
22
22
23
22
23
22
22
22
23
23
24
22
23
22
22
22
22
22
22
22
22
22
23
22
23
23
22
22
22
22
23
22
22
22
22
22
23
22
22
22
22
23
23
23
22
22
23
23
22
22
23
22
23
23
24
22
22
24
23
22
22
22
22
23
23
23
22
22
22
22
22
22
22
22
24
23
22
23
22
22
22
23
22
22
23
22
23
22
22
22
22
22
23
22
22
22
23
23
23
23
22
23
22
22
23
22
22
22
22
22
22
22
22
23
22
22
23
22
22
22
22
22
24
24
22
22
22
22
23
22
22
22
22
23
23
23
22
22
23
22
23
24
25
22
22
22
22
22
22
22
22
23
22
23
23
22
23
23
22
23
24
23
23
22
23
23
23
22
23
22
23
22
23
22
23
23
23
22
23
23
23
22
22
22
22
22
22
23
23
24
23
23
22
22
23
23
23
23
23
22
23
22
22
23
23
22
22
22
22
23
24
23
22
23
22
22
22
22
22
22
22
22
23
23
23
22
23
23
22
22
24
22
22
22
22
22
22
22
22
22
22
22
22
22
22
22
23
22
22
23
23
23
23
22
22
22
23
22
22
22
22
23
