NormalRunTimes
96
55
71
58
59
43
42
43
44
43
43
42
49
63
43
42
42
43
42
42
45
42
43
42
43
42
43
42
42
42
42
43
42
46
42
41
42
42
42
42
43
42
42
41
42
43
42
41
42
42
42
42
42
46
43
41
41
42
42
43
42
42
41
42
43
42
41
42
43
44
41
42
44
42
42
42
42
42
43
42
42
42
43
41
41
42
43
43
42
42
42
42
42
42
42
47
43
41
42
42
42
42
42
42
43
42
42
42
42
42
43
42
42
42
45
42
42
42
42
41
42
42
41
42
43
41
42
42
42
42
41
42
41
44
42
41
42
42
42
42
41
42
42
43
42
41
42
42
43
42
41
42
42
42
41
42
42
43
47
41
42
42
42
41
41
42
43
42
42
41
41
43
47
42
42
41
42
41
42
42
42
41
41
41
41
42
41
41
42
41
43
42
42
45
42
42
42
42
41
43
41
42
44
42
42
42
42
41
42
41
42
42
41
44
41
41
41
42
43
41
41
42
42
41
44
41
42
43
42
43
42
42
42
47
41
41
43
42
42
41
41
42
41
41
41
42
43
42
41
41
42
41
41
46
42
42
42
41
42
41
42
41
42
42
43
42
42
41
41
43
41
42
42
41
43
45
42
41
42
41
41
41
42
42
41
42
41
41
42
42
41
42
42
42
45
42
44
43
42
42
43
42
43
41
42
42
42
41
42
42
42
43
41
42
45
42
43
45
42
42
41
42
42
42
42
43
42
41
42
41
43
42
42
43
41
45
42
42
41
42
41
42
42
43
42
41
41
41
41
42
42
42
42
43
42
43
41
41
42
41
42
41
41
42
41
41
41
42
41
42
41
41
42
41
43
41
45
42
41
41
41
42
41
42
41
41
42
41
42
44
41
42
41
41
41
42
43
44
41
41
42
41
41
41
41
42
41
42
42
42
41
41
41
42
42
41
44
41
41
42
41
42
41
42
41
41
49
41
42
41
42
42
42
42
41
46
41
42
41
41
41
42
43
42
42
41
41
42
41
41
41
42
42
41
41
41
43
46
41
41
42
42
41
41
42
50
41
41
41
41
43
41
42
41
41
42
41
44
42
43
42
42
41
41
42
41
41
41
41
42
41
41
41
42
42
41
45
41
43
41
